rooms_count,floor,all_floor,ceil,trash,time_to_metro,all_squar,live_squar,kitchen_squar,ptice_month,util_service,bail,prepayment,сhild_allow,pets_allow,child_pets_allow,bathrooms,type_rooms_encoded,city_encoded,address_encoded,repair_encoded,balcon_encoded,metro_station_encoded,time_to_metro_encoded,rent_period_encoded,pas_lift_encoded,freight_lift_encoded,type_bathrooms_encoded
4.0,5,16,3.0,1,9,200.0,20.0,20.0,500000,1,500000,1,0,0,0,1.0,1,1,11794,1,14,253,63,1,4,1,0
4.0,5,16,3.5,0,8,198.0,95.0,18.0,500000,1,500000,1,1,0,0,3.0,1,1,11794,1,14,253,62,1,1,1,3
4.0,5,16,3.2,1,7,200.0,116.0,4.0,500000,0,500000,1,1,0,0,3.0,2,1,11794,2,14,253,59,1,1,0,2
4.0,5,6,3.2,1,3,170.0,95.0,17.0,400000,0,400000,1,0,1,0,3.0,2,1,8774,2,0,253,24,1,1,0,2
2.0,12,26,3.9,1,7,58.0,38.0,5.0,225000,1,225000,1,0,0,1,2.0,1,1,11791,2,1,13,59,1,1,1,2
3.0,3,7,3.0,1,5,92.0,20.0,11.635887335040378,470000,0,470000,2,0,0,1,1.0,1,1,61,1,0,253,44,1,0,0,0
5.0,4,5,3.2,0,4,213.0,140.0,20.0,350000,0,350000,1,0,0,0,2.0,2,1,8777,2,0,13,35,1,1,0,2
3.0,2,4,3.2,0,3,98.0,63.0,9.0,250000,1,250000,1,0,0,0,2.0,1,1,9901,2,0,253,24,1,1,0,3
3.0,5,10,3.0,0,9,120.0,95.0,10.0,130000,1,130000,1,0,1,0,1.0,1,1,4922,2,14,253,63,1,1,0,2
4.0,2,7,310.0,1,10,90.0,66.0,10.0,210000,1,210000,1,1,0,0,2.0,1,1,9898,2,0,13,2,1,1,0,3
4.0,6,7,3.2,0,5,170.0,94.0,10.0,290000,0,290000,1,1,0,0,3.0,2,1,4354,2,0,253,44,1,1,0,2
3.0,4,8,3.2,0,2,80.0,53.0,11.0,100000,1,110000,1,0,0,1,1.0,0,1,4924,2,9,253,13,1,1,0,2
3.0,2,4,3.2,0,8,100.0,80.0,10.0,200000,1,200000,1,0,0,0,2.0,1,1,1410,1,0,253,62,1,1,0,2
5.0,6,8,3.0,1,9,180.0,150.0,20.0,500000,1,500000,1,0,0,0,3.0,1,1,7622,1,14,253,63,1,3,0,3
5.0,5,9,3.0,1,5,222.2,20.0,11.635887335040378,450000,0,450000,1,0,0,1,2.0,2,1,7822,2,0,114,44,1,1,0,2
5.0,5,9,3.0,1,6,225.0,20.0,11.635887335040378,450000,1,450000,1,0,0,1,1.0,1,1,7822,1,0,114,52,1,4,0,0
2.0,19,26,3.9,1,10,30.0,20.0,20.0,120000,1,120000,1,0,0,0,1.0,1,1,11791,2,1,13,2,1,0,0,2
5.0,5,9,3.0,1,5,222.0,20.0,11.635887335040378,450000,0,450000,1,0,0,0,1.0,1,1,7822,1,0,13,44,1,0,0,0
5.0,4,7,1.2,0,12,150.0,20.0,11.635887335040378,180000,0,180000,1,0,0,1,2.0,0,1,5698,2,0,6,5,1,1,0,2
5.0,3,3,3.2,1,6,201.0,162.0,16.0,190000,0,190000,1,0,0,0,3.0,2,1,7823,2,0,114,52,1,1,0,2
2.0,12,26,3.9,0,9,64.0,50.0,8.0,205000,1,205000,1,0,0,0,2.0,2,1,11791,2,1,13,63,1,0,0,2
3.0,2,7,3.2,0,5,112.0,77.0,8.0,230000,0,230000,1,1,0,0,2.0,2,1,8781,2,0,114,44,1,1,0,2
4.0,4,5,3.2,0,5,190.0,20.0,11.635887335040378,590000,0,590000,1,0,0,1,1.0,1,1,4343,1,0,253,44,1,0,0,0
5.0,8,9,3.0,1,8,255.6,20.0,204.0,850000,1,850000,1,0,0,0,3.0,1,1,7822,2,0,13,62,1,0,0,3
5.0,3,3,3.3,1,5,186.0,158.0,20.0,190000,1,190000,1,0,0,0,2.0,1,1,7823,2,0,13,44,1,0,0,2
3.0,3,8,3.2,1,5,100.0,61.0,16.0,200000,0,200000,1,0,0,0,2.0,2,1,2073,2,14,13,44,1,1,0,2
5.0,4,7,1.2,0,11,150.0,139.0,9.0,200000,0,200000,1,0,0,1,2.0,1,1,5698,2,0,13,3,1,1,0,2
5.0,2,7,1.2,0,7,140.0,123.0,15.0,300000,0,300000,1,1,0,0,1.0,1,1,8773,1,0,253,59,1,1,0,0
3.0,5,13,3.15,1,15,132.8,20.0,106.0,400000,1,400000,1,0,0,0,2.0,1,1,11797,2,0,13,8,1,0,0,2
5.0,8,10,3.0,1,10,256.0,144.0,26.0,750000,1,750000,3,0,0,0,4.0,1,1,7822,1,0,13,2,1,1,1,3
6.0,3,6,4.0,1,5,380.0,250.0,28.0,870000,1,870000,1,0,0,0,3.0,1,1,8779,3,0,13,44,1,1,0,3
3.0,3,13,3.15,1,7,112.0,20.0,11.635887335040378,350000,0,350000,1,0,0,1,2.0,1,1,11797,3,0,253,59,1,0,0,1
2.0,10,13,3.15,1,7,91.0,20.0,11.635887335040378,400000,0,400000,1,0,0,1,2.0,1,1,11797,3,0,253,59,1,0,0,1
3.0,5,13,3.15,1,11,135.0,100.0,7.0,400000,1,400000,1,0,0,0,2.0,1,1,11797,1,0,13,3,1,2,1,3
4.0,4,5,3.2,0,3,190.0,112.0,12.0,590000,1,590000,1,1,0,0,2.0,1,1,4343,1,0,253,24,1,1,1,2
2.0,21,26,4.15,1,15,44.0,20.0,11.635887335040378,135000,0,135000,1,0,0,1,1.0,1,1,11791,3,1,13,8,1,0,0,1
3.0,7,7,3.0,1,7,85.0,20.0,68.0,150000,1,150000,1,0,0,0,1.0,1,1,9896,2,0,13,59,1,0,0,2
2.0,5,7,3.0,1,7,100.0,20.0,11.635887335040378,320000,0,320000,1,1,0,0,2.0,1,1,61,3,0,253,59,1,1,1,1
3.0,5,13,3.15,1,7,133.3,20.0,11.635887335040378,400000,0,400000,1,1,0,0,2.0,1,1,11797,3,0,253,59,1,0,0,1
4.0,3,5,3.8,1,7,210.0,20.0,11.635887335040378,400000,0,400000,1,0,1,0,3.0,1,1,8774,3,0,253,59,1,0,0,1
4.0,4,4,3.2,1,9,180.0,20.0,11.635887335040378,450000,0,450000,1,0,0,0,2.0,1,1,1454,3,0,13,63,1,0,0,1
4.0,9,16,3.35,1,5,165.0,20.0,11.635887335040378,470000,0,470000,1,0,1,0,2.0,1,1,11794,3,14,253,44,1,1,1,1
4.0,4,6,4.05,1,6,190.0,20.0,11.635887335040378,590000,0,590000,1,0,1,0,2.0,1,1,4343,3,0,253,52,1,0,0,1
4.0,4,16,3.35,1,5,168.0,20.0,11.635887335040378,600000,0,600000,1,1,0,0,2.0,1,1,11794,3,14,253,44,1,1,1,1
5.0,8,9,3.0,1,8,250.0,20.0,11.635887335040378,850000,0,850000,1,0,1,0,3.0,1,1,7822,3,0,114,62,1,1,1,1
3.0,7,7,3.0,1,7,85.0,20.0,11.635887335040378,150000,0,150000,1,0,0,1,1.0,0,1,9896,2,0,13,59,1,1,0,2
3.0,6,17,3.0,1,5,105.0,70.0,15.0,195000,1,195000,1,0,0,0,3.0,1,1,4355,2,14,253,44,1,0,0,2
3.0,8,16,3.0,1,5,134.0,20.0,11.635887335040378,300000,0,300000,1,0,0,0,2.0,2,1,4355,2,0,253,44,1,1,0,1
2.0,5,6,3.2,0,5,60.0,43.0,10.0,90000,0,90000,1,1,0,0,1.0,2,1,9902,2,0,253,44,1,1,0,2
3.0,7,7,3.0,1,7,85.0,20.0,11.635887335040378,150000,0,150000,1,0,0,1,1.0,1,1,9896,1,0,13,59,1,0,0,0
5.0,4,6,1.2,0,4,150.0,20.0,11.635887335040378,250000,0,250000,1,0,0,1,1.0,1,1,9903,1,0,253,35,1,0,0,0
4.0,12,13,3.2,1,5,142.0,81.0,17.0,350000,0,350000,1,0,0,1,2.0,2,1,60,2,0,253,44,1,1,0,2
5.0,7,9,3.0,1,6,222.0,205.0,10.0,450000,0,450000,1,0,0,0,1.0,1,1,7822,2,14,13,52,1,1,0,0
2.0,3,6,3.6,0,7,60.0,40.0,11.0,120000,1,120000,1,0,0,0,1.0,1,1,1411,3,0,253,59,1,1,0,2
3.0,2,3,3.8,0,8,103.0,74.0,16.0,120000,1,120000,1,1,0,0,1.0,1,1,9899,3,0,253,62,1,0,0,2
5.0,5,5,3.2,1,5,170.0,20.0,11.635887335040378,175000,1,175000,1,0,0,0,2.0,1,1,2072,2,0,114,44,1,1,0,2
5.0,3,3,3.2,1,8,200.0,150.0,30.0,190000,1,190000,1,0,0,0,1.0,1,1,7823,2,0,114,62,1,0,0,0
3.0,6,17,3.0,1,5,105.0,60.0,18.0,240000,1,240000,1,0,0,0,3.0,1,1,4355,3,14,253,44,1,2,1,3
1.0,2,12,3.0,0,10,60.0,30.0,10.0,250000,1,250000,1,1,0,0,1.0,1,1,11797,2,0,253,2,1,1,1,2
5.0,4,6,1.2,0,6,155.0,97.0,14.0,250000,0,250000,1,0,0,1,1.0,1,1,9903,1,0,253,52,1,1,0,0
3.0,8,16,3.0,1,5,134.0,95.0,7.0,300000,1,300000,1,0,0,0,2.0,1,1,4355,2,14,253,44,1,1,1,2
5.0,3,13,3.2,1,5,214.6,20.0,11.635887335040378,500000,0,500000,0,0,0,0,4.0,1,1,60,1,0,253,44,1,1,0,2
5.0,2,14,3.2,1,5,204.0,109.0,23.0,500000,1,500000,1,0,0,0,4.0,2,1,60,3,0,253,44,1,1,1,2
5.0,7,8,3.0,1,9,180.0,123.0,4.0,500000,0,500000,1,1,0,0,1.0,1,1,7622,2,14,253,63,1,1,0,0
6.0,6,8,1.2,0,6,260.0,20.0,11.635887335040378,590000,1,590000,1,0,0,0,4.0,1,1,1398,1,8,13,52,1,1,1,3
4.0,7,11,3.2,0,6,237.1,20.0,165.0,650000,1,650000,1,0,0,1,3.0,1,1,3428,1,14,253,52,1,2,0,3
4.0,5,5,3.2,1,4,215.0,20.0,70.0,700000,0,700000,0,0,0,1,3.0,1,1,8774,2,0,253,35,1,0,0,2
3.0,2,3,3.8,0,8,100.0,68.0,12.0,115000,1,115000,1,1,0,0,1.0,1,1,9899,3,0,253,62,1,0,0,0
2.0,3,6,3.6,0,8,60.0,40.0,11.0,120000,0,120000,1,0,0,1,1.0,1,1,1411,1,0,253,62,1,0,0,0
5.0,5,5,3.2,1,5,170.0,104.0,21.0,175000,1,175000,1,0,0,0,2.0,1,1,2072,2,0,114,44,1,1,0,2
3.0,6,6,3.0,1,6,98.0,20.0,8.0,185000,0,370000,1,0,0,1,1.0,1,1,9896,3,0,13,52,1,1,0,1
2.0,3,9,3.1,1,5,175.0,20.0,16.0,200000,0,200000,1,0,0,1,2.0,1,1,7822,3,0,13,44,1,1,1,1
4.0,3,4,3.2,0,5,180.0,112.0,12.0,350000,1,350000,1,1,0,0,3.0,2,1,9900,2,0,253,44,1,1,0,2
4.0,12,13,3.2,1,6,132.0,82.0,17.0,350000,1,350000,1,0,0,0,2.0,1,1,60,1,0,253,52,1,2,3,2
6.0,3,6,4.0,1,4,228.0,159.0,30.0,400000,0,400000,1,0,0,1,2.0,1,1,8779,2,0,6,35,1,1,0,2
3.0,3,7,4.2,1,2,92.3,20.0,10.8,470000,0,1500000,1,0,0,1,2.0,1,1,61,3,0,253,13,1,1,1,1
5.0,2,13,3.2,1,5,204.0,122.0,10.0,500000,0,500000,1,0,0,0,4.0,2,1,60,2,0,253,44,1,1,0,2
4.0,26,26,3.2,1,4,160.0,103.0,9.0,650000,0,650000,1,0,0,0,3.0,2,1,11791,2,1,13,35,1,1,0,2
4.0,25,26,3.2,1,4,140.0,93.0,9.0,650000,0,650000,1,0,0,0,3.0,2,1,11791,2,1,13,35,1,1,0,2
